YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2018-09,WEEKDAY,0,TRAIN,BP13,108,430
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,SE3,2266,738
2018-09,WEEKDAY,10,TRAIN,SE3,3347,1054
2018-09,WEEKENDS/HOLIDAY,9,TRAIN,EW16,2052,3344
2018-09,WEEKDAY,9,TRAIN,EW16,6680,16543
2018-09,WEEKDAY,9,TRAIN,NE3,18584,52894
2018-09,WEEKENDS/HOLIDAY,9,TRAIN,NE3,5986,7294
2018-09,WEEKDAY,18,TRAIN,NE16-STC,60497,138114
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,NE16-STC,26125,33178
2018-09,WEEKDAY,5,TRAIN,EW15,817,968
2018-09,WEEKENDS/HOLIDAY,5,TRAIN,EW15,168,49
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,NS7,21341,11802
2018-09,WEEKDAY,18,TRAIN,NS7,33728,32283
2018-09,WEEKDAY,0,TRAIN,NS15,526,1872
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,NS15,266,1143
2018-09,WEEKDAY,15,TRAIN,NS15,23533,16164
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,NS15,9748,7843
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,DT7,1166,1456
2018-09,WEEKDAY,22,TRAIN,DT7,2609,3045
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,PW4,190,77
2018-09,WEEKDAY,15,TRAIN,PW4,403,298
2018-09,WEEKDAY,15,TRAIN,EW23,43710,37707
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,EW23,23840,23192
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,NE8,34135,23379
2018-09,WEEKDAY,20,TRAIN,NE8,37194,40575
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,EW33,1590,2264
2018-09,WEEKDAY,19,TRAIN,EW33,4700,4330
2018-09,WEEKDAY,6,TRAIN,CC16,11123,5373
2018-09,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1567,936
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,BP12,2076,1368
2018-09,WEEKDAY,11,TRAIN,BP12,3122,1896
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,NE17-PTC,26611,24213
2018-09,WEEKDAY,13,TRAIN,NE17-PTC,35474,33205
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,BP5,592,484
2018-09,WEEKDAY,7,TRAIN,BP5,8407,4394
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1961,574
2018-09,WEEKDAY,8,TRAIN,SW6,10260,2091
2018-09,WEEKDAY,16,TRAIN,EW4,17031,14902
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,EW4,9244,7779
2018-09,WEEKDAY,14,TRAIN,CC2,6524,9051
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,CC2,3636,4640
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,NE14,21573,12160
2018-09,WEEKDAY,12,TRAIN,NE14,28658,17000
2018-09,WEEKDAY,20,TRAIN,NE4,81725,36822
2018-09,WEEKDAY,20,TRAIN,DT19,17299,9238
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,NE4,45756,21933
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,DT19,6818,5391
2018-09,WEEKDAY,0,TRAIN,SE5,31,343
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,SE5,37,209
2018-09,WEEKDAY,23,TRAIN,EW6,1620,8393
2018-09,WEEKENDS/HOLIDAY,23,TRAIN,EW6,779,4173
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,CC4-DT15,5401,13719
2018-09,WEEKDAY,12,TRAIN,CC4-DT15,21359,31720
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,DT19,8065,7128
2018-09,WEEKDAY,15,TRAIN,DT19,11861,10026
2018-09,WEEKDAY,15,TRAIN,NE4,57870,48982
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,NE4,41972,36630
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,SW1,483,545
2018-09,WEEKDAY,8,TRAIN,SW1,2879,4031
2018-09,WEEKENDS/HOLIDAY,9,TRAIN,NS10,28627,11596
2018-09,WEEKDAY,9,TRAIN,NS10,60567,23125
2018-09,WEEKDAY,7,TRAIN,DT33,73100,17431
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,DT33,7345,2517
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,DT24,17,304
2018-09,WEEKDAY,0,TRAIN,DT24,36,526
2018-09,WEEKDAY,0,TRAIN,NS18,212,2073
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,NS18,121,1097
2018-09,WEEKDAY,22,TRAIN,CC1-NE6-NS24,60893,12784
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,CC1-NE6-NS24,24546,8013
2018-09,WEEKDAY,21,TRAIN,EW3,12732,25983
2018-09,WEEKENDS/HOLIDAY,21,TRAIN,EW3,5373,11113
2018-09,WEEKENDS/HOLIDAY,21,TRAIN,DT35,8221,1476
2018-09,WEEKDAY,21,TRAIN,CG1,4668,1400
2018-09,WEEKENDS/HOLIDAY,21,TRAIN,CG1,3785,748
2018-09,WEEKDAY,21,TRAIN,DT35,17688,2432
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,NS21,18547,21660
2018-09,WEEKDAY,13,TRAIN,DT11,29338,29833
2018-09,WEEKDAY,13,TRAIN,NS21,29261,48412
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,DT11,21632,18692
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,CC23,723,3101
2018-09,WEEKDAY,7,TRAIN,CC23,3556,45960
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,SW1,816,499
2018-09,WEEKDAY,16,TRAIN,SW1,2006,1042
2018-09,WEEKDAY,20,TRAIN,NE15,6319,35059
