YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2019-01,WEEKDAY,0,TRAIN,NE16-STC,1164,4231
2019-01,WEEKENDS/HOLIDAY,17,TRAIN,DT21,5132,3685
2019-01,WEEKDAY,17,TRAIN,DT21,17681,9576
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,NE12,15528,18758
2019-01,WEEKDAY,19,TRAIN,CC13,39982,103999
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,CC13,15229,21140
2019-01,WEEKDAY,19,TRAIN,NE12,44468,84689
2019-01,WEEKENDS/HOLIDAY,6,TRAIN,EW31,778,1228
2019-01,WEEKDAY,6,TRAIN,EW31,2529,5833
2019-01,WEEKDAY,15,TRAIN,EW7,11930,17007
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,EW7,7245,7430
2019-01,WEEKENDS/HOLIDAY,23,TRAIN,CC23,544,243
2019-01,WEEKDAY,23,TRAIN,CC23,3020,508
2019-01,WEEKDAY,22,TRAIN,DT13,10087,6479
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3338,2998
2019-01,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1079,7750
2019-01,WEEKDAY,23,TRAIN,NE14,2901,21912
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,NS9,14250,22554
2019-01,WEEKDAY,22,TRAIN,NS9,29785,68147
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,DT22,3702,5120
2019-01,WEEKDAY,12,TRAIN,DT22,6527,8120
2019-01,WEEKDAY,18,TRAIN,DT28,39577,25970
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,DT28,6950,5023
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2194,1098
2019-01,WEEKDAY,12,TRAIN,DT34,5316,3287
2019-01,WEEKDAY,9,TRAIN,SW7,5494,1413
2019-01,WEEKENDS/HOLIDAY,9,TRAIN,SW7,2064,655
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,NE17-PTC,23500,20345
2019-01,WEEKDAY,12,TRAIN,NE17-PTC,34369,31766
2019-01,WEEKDAY,19,TRAIN,NE8,45306,74779
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,NE8,28175,32568
2019-01,WEEKDAY,21,TRAIN,CC24,29868,4422
2019-01,WEEKENDS/HOLIDAY,21,TRAIN,CC24,4366,1994
2019-01,WEEKDAY,12,TRAIN,CC9,15075,13962
2019-01,WEEKDAY,12,TRAIN,EW8,21355,29603
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,EW8,13547,18368
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,CC9,10392,7663
